Code,Name
053450,세코닉스
049520,유아이엘
033790,스카이문스테크놀로지
045660,에이텍
042660,한화오션
000250,삼천당제약
039030,이오테크닉스
045970,코아시아
042420,네오위즈홀딩스
041190,우리기술투자
041510,에스엠
038110,에코플라스틱
038290,마크로젠
036810,에프에스티
036830,솔브레인홀딩스
038010,제일테크노스
037370,EG
033640,네패스
036200,유니셈
035610,솔본
033230,인성정보
005160,동국산업
033540,파라텍
033100,제룡전기
025890,한국주강
011930,신성이엔지
003160,디아이
028300,HLB
017800,현대엘리베이
018500,동원금속
011300,성안
015750,성우하이텍
025900,동화기업
025320,시노펙스
014100,메디앙스
024910,경창산업
024840,KBI메탈
024120,KB오토시스
024060,흥구석유
016880,웅진
012860,모베이스전자
010120,LS ELECTRIC
014470,부방
010690,화신
019540,일지테크
001430,세아베스틸지주
014580,태경비케이
014530,극동유화
012170,아센디오
009420,한올바이오파마
006920,모헨즈
010660,화천기계
005490,POSCO홀딩스
005420,코스모화학
012450,한화에어로스페이스
004560,현대비앤지스틸
003530,한화투자증권
007810,코리아써키트
010060,OCI홀딩스
006260,LS
000430,대원강업
003570,SNT다이내믹스
003280,흥아해운
001060,JW중외제약
002720,국제약품
000990,DB하이텍
003230,삼양식품
000150,두산
007210,벽산
000240,한국앤컴퍼니
001790,대한제당
001530,DI동일
000660,SK하이닉스
000270,기아
018260,삼성에스디에스
138040,메리츠금융지주
259960,크래프톤
352820,하이브
009540,HD한국조선해양
326030,SK바이오팜
402340,SK스퀘어
010140,삼성중공업
161390,한국타이어앤테크놀로지
241560,두산밥캣
272210,한화시스템
001040,CJ
000120,CJ대한통운
008930,한미사이언스
052690,한전기술
175330,JB금융지주
185750,종근당
005850,에스엘
018670,SK가스
248070,솔루엠
108320,LX세미콘
001740,SK네트웍스
009240,한샘
161890,한국콜마
009970,영원무역홀딩스
009900,명신산업
002350,넥센타이어
004490,세방전지
003030,세아제강지주
006120,SK디스커버리
025540,한국단자
210980,SK디앤디
009450,경동나비엔
082740,HSD엔진
033240,자화전자
281820,케이씨텍
005180,빙그레
017940,E1
001820,삼화콘덴서
009290,광동제약
108670,LX하우시스
005810,풍산홀딩스
126560,현대퓨처넷
001940,KISCO홀딩스
002030,아세아
008350,남선알미늄
026890,스틱인베스트먼트
003960,사조대림
001250,GS글로벌
004710,한솔테크닉스
105840,우진
008260,NI스틸
013570,디와이
006890,태경케미컬
000500,가온전선
002200,한국수출포장
004840,DRB동일
017040,광명전기
031820,콤텍시스템
041650,상신브레이크
090080,평화산업
001420,태원물산
003680,한성기업
091990,셀트리온헬스케어
058470,리노공업
357780,솔브레인
005290,동진쎄미켐
145020,휴젤
240810,원익IPS
140860,파크시스템스
085660,차바이오텍
036540,SFA반도체
287410,제이시스메디칼
189300,인텔리안테크
348210,넥스틴
183300,코미코
319660,피에스케이
243070,휴온스
200670,휴메딕스
101160,월덱스
118990,모트렉스
095610,테스
013030,하이록코리아
030520,한글과컴퓨터
340570,티앤엘
102710,이엔에프테크놀로지
089030,테크윙
041830,인바디
251970,펌텍코리아
100790,미래에셋벤처투자
045390,대아티아이
114810,한솔아이원스
194700,노바렉스
079940,가비아
144960,뉴파워프라즈마
083450,GST
063570,한국전자금융
078350,한양디지텍
092730,네오팜
043370,피에이치에이
084730,팅크웨어
160980,싸이맥스
079960,동양이엔피
036630,세종텔레콤
058400,KNN
021080,에이티넘인베스트
027830,대성창투
014940,오리엔탈정공
124500,아이티센
053700,삼보모터스
092870,엑시콘
089850,유비벨록스
199820,제일전기공업
060310,3S
066590,우수AMS
042510,라온시큐어
086710,선진뷰티사이언스
208140,정다운
128660,피제이메탈
020710,시공테크
123410,코리아에프티
054040,한국컴퓨터
307180,아이엘사이언스
095270,웨이브일렉트로
096690,에이루트
057030,YBM넷
290740,액트로
053160,프리엠스
219420,링크제니시스
040160,누리플렉스
279600,미디어젠
094970,제이엠티
368970,오에스피
031510,오스템
297570,알로이스
049630,재영솔루텍
054300,팬스타엔터프라이즈
045340,토탈소프트
067730,로지시스
310870,디와이씨
060260,뉴보텍
427950,하나금융23호스팩
372290,하나머스트7호스팩
