Code,Name,상장일
035900,JYP Ent.,2001-08-30
053060,세동,2001-08-17
053450,세코닉스,2001-08-09
049520,유아이엘,2001-08-02
033790,스카이문스테크놀로지,2001-06-26
045660,에이텍,2001-05-24
042660,한화오션,2001-02-02
000250,삼천당제약,2000-10-04
039030,이오테크닉스,2000-08-24
045970,코아시아,2000-08-03
042420,네오위즈홀딩스,2000-06-27
041190,우리기술투자,2000-06-09
041510,에스엠,2000-04-27
038110,에코플라스틱,2000-03-23
038290,마크로젠,2000-02-22
036810,에프에스티,2000-01-18
036830,솔브레인홀딩스,2000-01-18
038010,제일테크노스,2000-01-11
037370,EG,2000-01-11
033640,네패스,1999-12-14
036200,유니셈,1999-12-10
035610,솔본,1999-08-13
033230,인성정보,1999-07-30
005160,동국산업,1999-06-25
033540,파라텍,1997-12-26
033100,제룡전기,1997-08-18
025890,한국주강,1997-07-18
011930,신성이엔지,1996-07-31
003160,디아이,1996-07-31
028300,HLB,1996-07-27
017800,현대엘리베이,1996-07-03
018500,동원금속,1995-11-10
011300,성안,1995-11-10
015750,성우하이텍,1995-11-04
025900,동화기업,1995-08-07
025320,시노펙스,1995-04-20
014100,메디앙스,1995-01-03
024910,경창산업,1994-12-29
024840,KBI메탈,1994-12-29
024120,KB오토시스,1994-12-07
024060,흥구석유,1994-12-07
016880,웅진,1994-11-05
012860,모베이스전자,1994-10-26
010120,LS ELECTRIC,1994-07-11
014470,부방,1994-02-25
010690,화신,1994-01-14
019540,일지테크,1992-11-03
001430,세아베스틸지주,1991-03-12
014580,태경비케이,1991-03-07
014530,극동유화,1991-01-31
012170,아센디오,1989-12-20
009420,한올바이오파마,1989-12-18
006920,모헨즈,1989-01-05
010660,화천기계,1988-12-12
005490,POSCO홀딩스,1988-06-10
005420,코스모화학,1987-07-23
012450,한화에어로스페이스,1987-05-27
004560,현대비앤지스틸,1987-03-24
003530,한화투자증권,1986-11-25
007810,코리아써키트,1985-09-09
010060,OCI홀딩스,1985-07-09
006260,LS,1977-06-30
000430,대원강업,1977-06-22
003570,SNT다이내믹스,1976-07-08
003280,흥아해운,1976-06-29
001060,JW중외제약,1976-06-14
002720,국제약품,1975-12-27
000990,DB하이텍,1975-12-12
003230,삼양식품,1975-06-30
000150,두산,1973-06-29
007210,벽산,1972-01-04
000240,한국앤컴퍼니,1968-12-27
001790,대한제당,1968-12-27
001530,DI동일,1964-01-04
